ID,Domain,Method,Endpoint,Backend,Auth,Purpose (verify),Request,Response fields read,Call sites,Used in files,Co-called with,Vuex side effects,Issues,Disposition,Proposed /ops/v3 endpoint,Owner,Status,Notes
A-123,Payments,POST,/operations/misc/payment/:id,v2 · glacier.on-track.in/api,Bearer agentToken,Submits payment — called from addCollection(),"body: HH, amount, comment, paymentId, paymentReceivedOn, paymentStatus, refundId, refundedAmount, service, source, transactionType","(not read, or read indirectly)",1,components/v2/collectionList.vue,,,,Migrated,POST /operations/misc/payment/:id (unchanged),,Done (Phase 1 — Booking detail),"Ported to collections.api.js::addCollection(), used by PaymentsTab.vue ""Add Collection"" dialog. Not exercised live this session (mutating)."
A-124,Payments,POST,/ops/booking/order,v2 · glacier.on-track.in/api,Bearer agentToken,Submits order — called from createBookingApi(),body: <payload> (variable — inspect at runtime),"(not read, or read indirectly)",1,components/createBooking.vue,,  dispatches: get_models,,Migrated,/ops/booking/order (unchanged),,"Done (Phase 1 — Create booking, Manual)","Ported to createBooking.api.js::submitManualBooking() + CreateBookingManualPage.vue. Also fixed a real bug while porting: the old app's payment-gateway dropdown offers 8 string values (razorpay/cashfree/...) but its field-visibility and `valid` logic compare against numeric 0-4, so selecting any dropdown option leaves the form permanently invalid in the old app. Fixed to branch on the actual string values (razorpay gets Payment+Order ID fields, everything else gets one generic Payment ID field) rather than faithfully reproducing the broken comparison. Not exercised live this session (mutating)."
A-125,Payments,GET,operations/analytics/booking/payment-status,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches payment-status — called from loadPaymentStatus(),(none detected),"(not read, or read indirectly)",1,views/bookings/analytics/home.vue,,,,,,,Not started,
A-126,Payments,POST,operations/booking/cash/verify-payment,v2 · glacier.on-track.in/api,Bearer agentToken,Submits verify-payment — called from submitAndConfirmPaid(),"body: bookingId, comment, paymentId, paymentMethod","data (raw), data.message",2,components/ExtendBookingPaymentMethods.vue | pages/paymentMethods.vue,,,,Migrated,POST operations/booking/cash/verify-payment (unchanged),,Done (Phase 1 — Extend booking),"Ported to extendBooking.api.js::verifyCashPayment(), used by ExtendBookingPaymentPage.vue ""Update as Cash"" dialog. Not exercised live this session (mutating). Reused (as-is, same generic shape) by BookingPaymentPage.vue's ""Collect at Location/Store"" dialog too — third real call site now covered."
A-127,Payments,POST,operations/booking/create-order,v2 · glacier.on-track.in/api,Bearer agentToken,Submits -order — called from createBooking(),body: <payload> (variable — inspect at runtime),"data (raw), data.data, data.message",1,components/bookingForm.vue,,,,Migrated,operations/booking/create-order (unchanged),,"Done (Phase 1 — Create booking, Dynamic)","Ported to createBooking.api.js::submitDynamicBooking() + CreateBookingDynamicPage.vue. Deliberately does NOT send the old app's hardcoded `test: true` (a leftover debug flag sent on every real submission in bookingForm.vue — almost certainly why so many real bookings in this backend have ""TEST-""-prefixed ids). Not exercised live this session (mutating)."
A-128,Payments,POST,operations/booking/razorpay/send-payment-link,v2 · glacier.on-track.in/api,Bearer agentToken,Submits send-payment-link — called from sendPaymentLink(),body: bookingId,"data (raw), data.data.paymentLink, data.message",1,pages/paymentMethods.vue,,,,Migrated (as-is),POST /ops/v3/bookings/:id/payment-link/razorpay,,Done (Phase 1 — Booking payment methods),"Ported to bookingPayment.api.js::sendBookingPaymentLinkRazorpay(), used by BookingPaymentPage.vue for both ""Send Payment Link"" and ""Pay through Razorpay"" (old app fully redirected the browser via window.location.href for the latter — changed to window.open in a new tab so the agent keeps their place in the ops app; a deliberate improvement, not a bug fix). Not exercised live this session (mutating)."
A-129,Payments,POST,operations/booking/send-payment-link,v2 · glacier.on-track.in/api,Bearer agentToken,"Submits send-payment-link — called from sendPaymentLink(), sendPaymentLinkAlternate()","body: bookingId, contact, email","data (raw), data.message",2,components/ExtendBookingPaymentMethods.vue | pages/paymentLink.vue,,,,Migrated,POST operations/booking/send-payment-link (unchanged),,Done (Phase 1 — Extend booking),"Ported to extendBooking.api.js::sendPaymentLinkAlternate(), used by ExtendBookingPaymentPage.vue ""Resend via another channel"" section. Not exercised live this session (mutating). Reused (as-is, same generic shape) by BookingPaymentPage.vue's ""Resend via another channel"" section too — third real call site now covered."
A-130,Payments,POST,operations/razorpay/payment/update,v2 · glacier.on-track.in/api,Bearer agentToken,Submits update — called from updatePayment(),"body: bookingId, order_id",data.message,2,components/AllBookingDetailsV2.vue | components/allbookingdetails.vue,,,,Migrated,POST operations/razorpay/payment/update (unchanged),,Done (Phase 1 — Booking detail),Ported to bookingDetail.api.js::updatePayment() + BookingDetailPage.vue update-payment dialog. Not exercised live this session (mutating).
A-131,Payments,GET,tickets,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches tickets — called from getPaymentTickets(),query: booking,"(not read, or read indirectly)",1,store.js,GET tickets/:id,,,Migrated,GET tickets (unchanged),,Done (Phase 1 — Booking detail),"Ported to paymentTickets.api.js::fetchPaymentTickets(), used by PaymentTicketsTab.vue. Not exercised live this session."
A-132,Payments,POST,tickets,v2 · glacier.on-track.in/api,Bearer agentToken,Submits tickets — called from createPaymentTickets(),body: <payload> (variable — inspect at runtime),data (raw),1,store.js,,commits: LOADING_API,raw response.data consumed (no envelope),Migrated,POST tickets (unchanged),,Done (Phase 1 — Booking detail),"Ported to paymentTickets.api.js::createPaymentTicket(), used by PaymentTicketsTab.vue ""Create Ticket"" dialog. Not exercised live this session (mutating)."
A-133,Payments,GET,tickets/:id,v2 · glacier.on-track.in/api,Bearer agentToken,"Fetches tickets — called from changeSubStatus(), getExtendHistory(), getGpsVendors()",(none detected),data (raw),4,store.js,GET  | GET gps/vendor | GET tickets | POST /vehicles/:id | POST getAgentsActivity,"commits: GET_EXTEND_HISTORY, GET_GPS_VENDORS, GET_PAYMENT_TICKET, LOADING_API",raw response.data consumed (no envelope),,,,Not started,
A-134,Purchases,GET,/outreach/fleet-purchase/status,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches status — called from mounted(),"query: limit, paymentStatus, searchQuery, sortOrder","(not read, or read indirectly)",1,views/vehicles/purchaseOrders.vue,,,,,,,Not started,
A-135,Recovery,POST,/operations/bookings/:id/close-from-recovery,v2 · glacier.on-track.in/api,Bearer agentToken,Submits close-from-recovery — called from executeCloseRecovery(),body: closingComment,"(not read, or read indirectly)",1,components/Recovery/HomeVue.vue,,,,Migrated,POST /operations/bookings/:id/close-from-recovery (unchanged),,Done (Recovery list),Ported (RecoveryPage.vue Mark as Recovered). Old app passes the recovery record id (not booking id) as :id — ported as-is. Mutating — not exercised live.
A-136,Recovery,GET,/operations/recovery-list,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches recovery-list — called from getRecoveryVehicles(),(none detected),"(not read, or read indirectly)",1,components/Recovery/HomeVue.vue,,,,Migrated,GET /operations/recovery-list (unchanged),,Done (Recovery list),"Ported to src/services/recovery/recovery.api.js + src/pages/recovery/RecoveryPage.vue (/recovery). Query: limit, offset, status (0/1, omitted for all), search, expiredDays. Response CONFIRMED live 2026-09-23: bare array (no count) of recovery records embedding bookingData(+customerData) and vehicleData(+modelData)."
A-137,Recovery,GET,/operations/recovery-list/:id/comments,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches comments — called from fetchComments(),(none detected),"(not read, or read indirectly)",1,components/Recovery/RecoveryComments.vue,,,,Migrated,GET /operations/recovery-list/:id/comments (unchanged),,Done (Recovery list),"Ported to src/services/recovery/recovery.api.js + src/components/recovery/RecoveryCommentsDialog.vue. Response { data: [{ id, comment, createdAt, agentData.name }] } per old app reads — not yet confirmed live."
A-138,Recovery,POST,/operations/recovery-list/comment,v2 · glacier.on-track.in/api,Bearer agentToken,Submits comment — called from addComment(),"body: comment, recoveryId","(not read, or read indirectly)",1,components/Recovery/RecoveryComments.vue,,,,Migrated,POST /operations/recovery-list/comment (unchanged),,Done (Recovery list),"Ported (RecoveryCommentsDialog.vue). Body { recoveryId, comment: ""Recovery - "" + text } as in the old app. Mutating — not exercised live."
A-139,Recovery,POST,operations/bookings/:id/add-to-recovery,v2 · glacier.on-track.in/api,Bearer agentToken,Submits add-to-recovery — called from addToRecovery(),"body: address, comment",data.message,2,components/AllBookingDetailsV2.vue | components/allbookingdetails.vue,,,,Migrated,POST operations/bookings/:id/add-to-recovery (unchanged),,Done (Phase 1 — Booking detail),Ported to bookingDetail.api.js::addToRecovery() + BookingDetailPage.vue add-to-recovery dialog. Not exercised live this session (mutating).
A-140,Recovery,POST,operations/bookings/:id/remove-from-recovery,v2 · glacier.on-track.in/api,Bearer agentToken,Submits remove-from-recovery — called from removeFromRecovery(),(none detected),data.message,2,components/AllBookingDetailsV2.vue | components/allbookingdetails.vue,,,,Migrated,POST operations/bookings/:id/remove-from-recovery (unchanged),,Done (Phase 1 — Booking detail),Ported to bookingDetail.api.js::removeFromRecovery() + BookingDetailPage.vue remove-from-recovery confirm. Not exercised live this session (mutating).
A-141,Reports,POST,newUsersByDay,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Submits new Users By Day — called from get_new_customers(),query: createdAt,data (raw),2,store.js | store/modules/booking.js,,"commits: GET_NEW_CUSTOMERS, LOADING_API",LEGACY backend; raw response.data consumed (no envelope),,,,Not started,
A-142,Roadside Assistance,GET,/outreach/assistance/rsa-leads,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches rsa-leads — called from fetchRsaData(),"query: limit, offset, status","(not read, or read indirectly)",1,views/roadSideAssistance.vue,,,,,,,Not started,
A-143,Roadside Assistance,PUT,/outreach/funnel/assistance/rsa-leads/:id/update/status,v2 · glacier.on-track.in/api,Bearer agentToken,Updates status — called from updateStatus(),"body: comment, status","(not read, or read indirectly)",1,views/roadSideAssistance.vue,,,,,,,Not started,
A-144,Service,POST,getServiceHistoryById,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Submits Service History By Id — called from get_serviceHistory_by_id(),body: vehicleId,data (raw),1,store/modules/booking.js,,"commits: GET_SERVICE_HISTORY_BY_ID, LOADING_API, LOADING_VEHICLE_API",LEGACY backend; POST used for a read; raw response.data consumed (no envelope),,,,Not started,
A-145,Service,GET,getServiceListById,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Fetches Service List By Id — called from get_services_by_id(),query: id,data (raw),2,store.js | store/modules/booking.js,,"commits: GET_SERVICES_BY_ID, LOADING_API",LEGACY backend; raw response.data consumed (no envelope),,,,Not started,
A-146,Service,POST,getServiceListByQuery,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Submits Service List By Query — called from get_services(),body: status,data (raw),2,store.js | store/modules/booking.js,,"commits: GET_SERVICES, LOADING_API",LEGACY backend; POST used for a read; raw response.data consumed (no envelope),,,,Not started,
A-147,Uncategorised,GET,,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches — called from getGpsVendors(),(none detected),"(not read, or read indirectly)",1,store.js,GET gps/vendor | GET tickets/:id,,,,,,Not started,
A-148,Uncategorised,PUT,/operations/:id/penalty/update/,v2 · glacier.on-track.in/api,Bearer agentToken,Updates update — called from savePenalty(),"body: bookingId, customerId, penaltyCharge",data.message,1,components/AllBookingDetailsV2.vue,,,,Migrated,PUT /operations/:id/penalty/update/ (unchanged),,Done (Phase 1 — Booking detail),Ported to bookingDetail.api.js::updatePenalty() + BookingDetailPage.vue adjust-penalty dialog. Not exercised live this session (mutating).
A-149,Uncategorised,GET,url,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches url,(none detected),data (raw),1,store.js,,"commits: GET_VCR, LOADING_API",raw response.data consumed (no envelope),,,,Not started,
A-150,Vehicles,POST,/api/vehicles,v2 · glacier.on-track.in/api,Bearer agentToken,Submits vehicles — called from submitForm(),body: <this.vehicle> (variable — inspect at runtime),"(not read, or read indirectly)",1,pages/Vehicle/AddVehicle.vue,,,,,,,Not started,
A-151,Vehicles,POST,/operations/create/vehicle,v2 · glacier.on-track.in/api,Bearer agentToken,Submits vehicle — called from createVehicle(),body: <payload> (variable — inspect at runtime),"data (raw), data.message",1,pages/createVehicle.vue,,,,,,,Not started,
A-152,Vehicles,POST,/operations/getVehicles,v2 · glacier.on-track.in/api,Bearer agentToken,Submits Vehicles — called from modelchange(),"query: limit, model_id, status",data.rows,1,components/modifyBooking.vue,,,POST used for a read,Migrated,POST /operations/getVehicles (unchanged),,Done (Phase 1 — Assign vehicle + Modify booking),"Same physical endpoint, TWO different real call shapes ported as-is: assignVehicle.api.js::fetchAvailableVehicles() sends model_id/type=all (CONFIRMED live 2026-09-07 — real registration ""KA53AC4574"" preselected correctly); modifyBooking.api.js::fetchExchangeableVehicles() sends model_id/status=[0,2,5,4] (Available/Under Service/Water Wash/Ongoing Under Service only) — CONFIRMED live 2026-09-07, real ""KA01AU1807""/Available shown in the exchange vehicle picker."
A-153,Vehicles,POST,/operations/report/download/vehicle,v2 · glacier.on-track.in/api,Bearer agentToken,Submits vehicle — called from downloadReport(),"body: bookingStatus, endDate, format, includeOptions, insuranceExpired, lessor, permitExpired, rcExpired, registrationNumber, startDate, vehicleStatus",data.message,1,views/DownloadCenter.vue,,,,,,,Not started,
A-154,Vehicles,POST,/operations/vehicle/:id/update/location,v2 · glacier.on-track.in/api,Bearer agentToken,Submits location — called from updateVehicleLocation(),body: location,"(not read, or read indirectly)",1,views/vehicles/vehicleDetails.vue,,,,Migrated (as-is),POST /ops/v3/vehicles/:id/location,,Done (Phase 2 — Vehicle detail),Ported to vehicleDetail.api.js::updateVehicleLocation(). Not exercised live this session (mutating) — code-reviewed only.
A-155,Vehicles,POST,/operations/vehicle/:id/update/status,v2 · glacier.on-track.in/api,Bearer agentToken,Submits status — called from changeVehicleStatus(),body: status,"(not read, or read indirectly)",2,components/Recovery/VehicleView.vue | views/vehicles/vehicleDetails.vue,,,,Migrated (as-is),POST /ops/v3/vehicles/:id/status,,Done (Phase 2 — Vehicle detail),"Ported to vehicleDetail.api.js::updateVehicleStatus(), used by SettingsTab.vue's Change Status dialog (0-8, matching vehicleDetails.vue's own fuller status set — see also VehicleStatusBadge.vue). Not exercised live this session (mutating)."
A-156,Vehicles,GET,/operations/vehicle/report/chart-data,v2 · glacier.on-track.in/api,Bearer agentToken,"Per-model available/booked counts split by vehicle age, optionally per lessor — called from loadVehicleChartData()",query: lessor (optional),"object keyed by model name; each { available: { total, byAge }, booked: { total, byAge } }, byAge maps age in years to a count — CONFIRMED live 2026-09-23",1,views/reports/VehicleStatsChart.vue,,,raw response.data consumed (no envelope),Migrated,GET /operations/vehicle/report/chart-data (unchanged),,Done (Inventory Utilisation Report),Ported to reports/vehicleReport.api.js::fetchAvailabilityByAge(); aggregated across models into one booked/in-stock bar per vehicle age on /vehicleStats (replaces the old 16-series stacked chart).
A-157,Vehicles,GET,/operations/vehicle/report/vehicle-count-by-age,v2 · glacier.on-track.in/api,Bearer agentToken,"Per-model vehicle counts by age in years (all statuses), optionally per lessor — called from loadVehicleData()",query: lessor (optional),object keyed by model name; each maps age in years to a vehicle count — CONFIRMED live 2026-09-23,1,views/reports/VehicleCountsByAge.vue,,,raw response.data consumed (no envelope),Migrated,GET /operations/vehicle/report/vehicle-count-by-age (unchanged),,Done (Inventory Utilisation Report),Ported to reports/vehicleReport.api.js::fetchCountByAge(); rendered on /vehicleStats as a model × age heatmap table. Totals can exceed A-156 available+booked (counts every status).
A-158,Vehicles,GET,/operations/vehicles,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches vehicles — called from updateQueryParamUrl(),"query: lessors, limit, locations, manufactureDate, models, offset, searchQuery, sortOrder, statuses","{ count, rows }; row: id, registrationNumber, color, status (numeric), subStatus (string) + embedded modelData/lessorData (no embedded location name) — CONFIRMED live 2026-09-07",1,views/vehicles/vehiclesList.vue,,,,Migrated,GET /operations/vehicles (unchanged),,Done (Phase 2 — Vehicles list),"Ported to ontrack-ops-v3 src/services/vehicles/vehicles.api.js + src/stores/vehicles.store.js + src/pages/vehicles/VehiclesPage.vue. Location column omitted — location is a bare id with no embedded name in this response; needs a separate locations lookup (A-091/A-093/A-096/A-097/A-100) to resolve, not wired up yet. Extended for Phase 2 (Vehicles list filters/sort/export): fetchVehicles() now also sends statuses/models/lessors/locations/manufactureDate/sortOrder — confirmed live 2026-09-07 (status filter correctly reduced 127 -> 27 rows; sort direction correctly reordered rows). VehiclesPage.vue also gained a Location column (resolved client-side via a separate A-100 lookup, since this endpoint doesn't embed one) and CSV/JSON export of the current page (no `xlsx` library — see utils/export.js for why)."
A-159,Vehicles,GET,/operations/vehicles/expired,v2 · glacier.on-track.in/api,Bearer agentToken,"Fetches expired — called from exportAllVehicles(), getVehicles()","query: insurance_expired, limit, offset, permit_expired, pucc_expired, rc_expired","(not read, or read indirectly)",2,components/vehicles/reminders.vue,,,,Migrated (fixed),GET /ops/v3/vehicles/expired,,Done (Phase 2 — Reminders),"Ported to vehicles.api.js::fetchExpiredVehicles(), used by RemindersPage.vue + reminders.store.js. Response envelope is { total, data } — different shape than every other list endpoint in this app ({ count, rows }), ported exactly as observed. TWO REAL BUGS FOUND & FIXED: (1) old app's 'Load More' replaced rows instead of appending and hardcoded offset=limit on every call instead of accumulating it, so clicking Load More re-fetched and re-displayed the exact same second page forever, discarding page 1 and never reaching page 3 — fixed to accumulate rows and advance the offset properly (regression-tested). (2) 'Export All' read 4 separate data properties that defaulted to false and were never updated by the UI, so every export requested all-zero expiry flags regardless of the selected filter — fixed to export using the currently-selected expiry type. Confirmed live 2026-09-07 (RC=0 results, Insurance=5 real results with correct badges, CSV export triggered a real download)."
A-160,Vehicles,GET,/stats/vehicles,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches vehicles — called from get_vehicle_count(),(none detected),data (raw),1,store.js,,"commits: LOADING_API, VEHICLE_COUNT",raw response.data consumed (no envelope),,,,Not started,
A-161,Vehicles,POST,/vehicles/:id,v2 · glacier.on-track.in/api,Bearer agentToken,"Submits vehicles — called from changeSubStatus(), updateInsuranceEndDate(), updateInsuranceStartDate()","body: RCExpiry, insuranceDate, nextInsuranceDate, permitExpiry, swapKeyId","(not read, or read indirectly)",8,components/Recovery/VehicleView.vue | store.js | views/vehicles/vehicleDetails.vue,GET tickets/:id,,called from 3 files,Migrated (fixed),PATCH /ops/v3/vehicles/:id,,Done (Phase 2 — Vehicle detail),"Ported to vehicleDetail.api.js::updateVehicleField(), used by every single-field ""Update"" link in SpecsTab.vue (RC/insurance dates/permit/swap key id) plus SettingsTab.vue's sub-status flag. BUG FOUND & NOT REPLICATED: the old app's changingInsurance() (Settings > Update Insurance) sent InsurancePolicy/insuranceDate/nextInsuranceDate through a hardcoded https://api.on-track.in/api/vehicle/:id URL + hardcoded LEGACY Basic-auth header instead of this same v2 endpoint every sibling field-update handler on the same page correctly uses — treated as a bug (internally inconsistent with the page's own established pattern), not a real requirement; Update Insurance now goes through this endpoint like everything else."
A-162,Vehicles,POST,droppedVehicle,LEGACY · api.on-track.in/api,Static Basic (hardcoded),"Submits dropped Vehicle — called from get_drop_vehicle(), get_drop_vehicle_byDate()",query: endDate,data (raw),4,store.js | store/modules/booking.js,,"commits: GET_DROP_VEHICLE, GET_DROP_VEHICLE_BY_DATE, LOADING_API, LOAD_STATUS",LEGACY backend; raw response.data consumed (no envelope),,,,Not started,
A-163,Vehicles,GET,getVehicles,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Fetches Vehicles — called from get_total_vehicles(),(none detected),data (raw),1,store/modules/booking.js,,"commits: GET_TOTAL_VEHICLES, LOADING_API",LEGACY backend; no pagination params; raw response.data consumed (no envelope),,,,Not started,
A-164,Vehicles,POST,operations/getVehicles,v2 · glacier.on-track.in/api,Bearer agentToken,"Submits Vehicles — called from getAvailableVehicles(), get_total_vehicles()","query: model_id, type · body: Authorization","data (raw), data.message",2,components/assignVehicle2.vue | store.js,,"commits: GET_TOTAL_VEHICLES, LOADING_API",POST used for a read; no pagination params; raw response.data consumed (no envelope),,,,Not started,
A-165,Vehicles,GET,operations/getVehicles/:id,v2 · glacier.on-track.in/api,Bearer agentToken,"Fetches Vehicles — called from getVehicleData(), get_vehicle_by_id()",(none detected),data (raw),3,components/Recovery/VehicleView.vue | store.js | views/vehicles/vehicleDetails.vue,,"commits: GET_VEHICLE_BY_ID, LOADING_API, LOADING_VEHICLE_API",called from 3 files; no pagination params; raw response.data consumed (no envelope),Migrated (as-is),GET /ops/v3/vehicles/:id,,Done (Phase 2 — Vehicle detail),Ported to vehicleDetail.api.js::fetchVehicleDetail(). Response shape confirmed live 2026-09-07 (id/registrationNumber/gps/gpsVendorId/modelData/lessorData/locationData/bookingData/swapKeyStatus/vehicleDetails all present).
A-166,Vehicles,GET,operations/vehicle/report,v2 · glacier.on-track.in/api,Bearer agentToken,Fetches report — called from fetchVehicles(),"query: lessor, limit, offset","(not read, or read indirectly)",1,views/vehicles/stats.vue,,,,Not ported (dead in old app),,,Not started,"The old stats.vue fetched this on every lessor change, but its only consumer (a vehicle report table + CSV export) is commented out — so the response was never shown. Deliberately not ported to /vehicleStats."
A-167,Vehicles,GET,operations/vehicle/report/v2,v2 · glacier.on-track.in/api,Bearer agentToken,"Six headline cards for the Inventory Utilisation Report (utilisation, highest in stock, best/worst utilised, most under service, most not working) — called from fetchVehiclesv2()","query: lessor (optional), limit, offset","bare array of { label, percentage?, modelName?, createdAt?, count? }; percentage is a preformatted string — CONFIRMED live 2026-09-23",1,views/vehicles/stats.vue,,,,Migrated,GET operations/vehicle/report/v2 (unchanged),,Done (Inventory Utilisation Report),Ported to reports/vehicleReport.api.js::fetchReportSummary() (limit=10/offset=0 sent as the old app did); rendered as the stat cards on /vehicleStats.
A-168,Vehicles,PUT,operations/vehicle/update/list-for-sale,v2 · glacier.on-track.in/api,Bearer agentToken,Updates list-for-sale — called from updateReSaleDetails(),"body: about, insuranceCost, isForSale, kmReading, miscCost, reSalePrice, registrationNumber, rsaCost, rtoCost, totalPrice, warrantyCost","(not read, or read indirectly)",2,components/Recovery/VehicleView.vue | views/vehicles/vehicleDetails.vue,,,,Migrated (as-is),PUT /ops/v3/vehicles/resale,,Done (Phase 2 — Vehicle detail),"Ported to vehicleDetail.api.js::updateResaleListing(), used by VehicleDetailPage.vue's resale card + modal. Old app identifies the vehicle by `registrationNumber` in the body rather than by id/URL param — ported exactly as observed, however odd. Not exercised live this session (mutating)."
A-169,Vehicles,GET,services/vehicle/:id,v2 · glacier.on-track.in/api,Bearer agentToken,"Fetches vehicle — called from getServiceHistory(), get_serviceHistory_by_id()",(none detected),data.rows,3,components/Recovery/VehicleView.vue | store.js | views/vehicles/vehicleDetails.vue,,"commits: GET_SERVICE_HISTORY_BY_ID, LOADING_API, LOADING_VEHICLE_API",called from 3 files,Migrated (fixed),GET /ops/v3/vehicles/:id/service-history,,Done (Phase 2 — Vehicle detail),"Ported to vehicleDetail.api.js::fetchServiceHistory(), used by ServiceHistoryTab.vue. BUG FOUND & FIXED (v3-only, introduced then caught same session): confirmed live that a vehicle with no service history 500s rather than returning an empty array — the first draft had no catch around this call, which would surface as an uncaught promise rejection; fixed to treat the failure as an empty list, same as the tab's own empty state already implied."
A-170,Vehicles,GET,vehicle/:id,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Fetches vehicle — called from get_vehicle_by_id(),(none detected),data (raw),1,store/modules/booking.js,,"commits: GET_VEHICLE_BY_ID, LOADING_API, LOADING_VEHICLE_API",LEGACY backend; raw response.data consumed (no envelope),,,,Not started,
A-171,Vehicles,POST,vehicle/upload,v2 · glacier.on-track.in/api,Bearer agentToken,"Submits upload — called from updateInsuraceImage(), updatePUCCImage(), updatePermitImage()",body: <fd> (variable — inspect at runtime),"(not read, or read indirectly)",8,components/Recovery/VehicleView.vue | views/vehicles/vehicleDetails.vue,,"  dispatches: get_serviceHistory_by_id, get_vehicle_by_id",,Migrated (as-is),POST /ops/v3/vehicles/:id/documents,,Done (Phase 2 — Vehicle detail),"Ported to vehicleDetail.api.js::uploadVehicleImage(), used by SpecsTab.vue for the 4 document image types (insuranceImage/pucc/rcImage/vehiclePermit). Not exercised live this session (mutating)."
A-172,Waitlist,POST,waitlistQuery,LEGACY · api.on-track.in/api,Static Basic (hardcoded),Submits waitlist Query — called from get_waitlist(),(none detected),data (raw),2,store.js | store/modules/booking.js,,"commits: GET_WAITLIST, LOADING_API",LEGACY backend; raw response.data consumed (no envelope),,,,Not started,
A-173,Vehicles,POST,/admin/swap-key/:swapKeyId/block,v2 · glacier.on-track.in/api,Bearer agentToken,Suspends a vehicle's swap key — called from confirmBlockSwapKey(),(none — swapKeyId in URL),"(not read, or read indirectly)",1,views/vehicles/vehicleDetails.vue,,,not previously in this inventory — found while building Phase 2 Vehicle detail,Migrated (as-is),POST /ops/v3/vehicles/swap-key/:id/block,,Done (Phase 2 — Vehicle detail),"Ported to vehicleDetail.api.js::blockSwapKey(), used by SpecsTab.vue. Not exercised live this session (mutating, and hard to reverse for a real key)."
A-174,Vehicles,POST,/admin/swap-key/:swapKeyId/unblock,v2 · glacier.on-track.in/api,Bearer agentToken,Reinstates a vehicle's swap key — called from confirmUnblockSwapKey(),(none — swapKeyId in URL),"(not read, or read indirectly)",1,views/vehicles/vehicleDetails.vue,,,not previously in this inventory — found while building Phase 2 Vehicle detail,Migrated (as-is),POST /ops/v3/vehicles/swap-key/:id/unblock,,Done (Phase 2 — Vehicle detail),"Ported to vehicleDetail.api.js::unblockSwapKey(), used by SpecsTab.vue. Not exercised live this session (mutating)."
